datetime,x_hz,y_dbm
2024-08-22 11:32:48.682703,107296647.84,-72.9039306641
2024-08-22 11:32:49.686824,107296647.84,-76.8451156616
2024-08-22 11:32:50.690975,107296647.84,-79.4649429321
2024-08-22 11:32:51.695003,107296647.84,-80.621383667
2024-08-22 11:32:52.699122,107296647.84,-78.3503036499
2024-08-22 11:32:53.703138,107296647.84,-84.0725326538
2024-08-22 11:32:54.707132,107296647.84,-77.002532959
2024-08-22 11:32:55.711149,107296647.84,-80.3508758545
2024-08-22 11:32:56.715122,107296647.84,-83.6737670898
2024-08-22 11:32:57.719142,107296647.84,-79.8905410767
2024-08-22 11:32:58.723114,107296647.84,-77.2064971924
2024-08-22 11:32:59.727139,107296647.84,-76.1636428833
2024-08-22 11:33:00.731201,107296647.84,-80.4511184692
2024-08-22 11:33:01.735041,107296647.11,-80.5112609863
2024-08-22 11:33:02.740110,107296647.84,-77.2437362671
2024-08-22 11:33:03.742953,107296647.84,-81.1126480103
2024-08-22 11:33:04.746776,107296647.84,-83.5810089111
2024-08-22 11:33:05.750390,107296647.84,-81.6393737793
2024-08-22 11:33:06.754894,107296647.84,-89.6146011353
2024-08-22 11:33:07.758780,107296647.84,-76.2031402588
2024-08-22 11:33:08.762862,107296647.84,-72.4253082275
2024-08-22 11:33:09.765700,107296647.84,-72.8852920532
2024-08-22 11:33:10.769805,107296647.84,-75.2572174072
2024-08-22 11:33:11.773788,107296647.84,-72.2069702148
2024-08-22 11:33:12.777864,107296647.84,-72.5716171265
2024-08-22 11:33:13.781920,107296647.84,-75.8739318848
2024-08-22 11:33:14.785951,107296647.84,-81.2126922607
2024-08-22 11:33:15.789987,107296647.84,-83.6327972412
2024-08-22 11:33:16.793986,107296647.84,-75.8213577271
2024-08-22 11:33:17.797998,107296647.84,-74.2448272705
2024-08-22 11:33:18.801967,107296647.84,-74.8572540283
2024-08-22 11:33:19.806011,107296647.84,-80.4633865356
2024-08-22 11:33:20.810019,107296647.11,-88.2172546387
2024-08-22 11:33:21.813975,107296647.84,-80.9739456177
2024-08-22 11:33:22.818015,107296647.84,-79.6200714111
2024-08-22 11:33:23.821971,107296647.84,-77.5234222412
2024-08-22 11:33:24.825979,107296647.84,-75.6041946411
2024-08-22 11:33:25.830046,107296647.84,-80.0682144165
2024-08-22 11:33:26.833994,107296647.84,-75.3573532104
2024-08-22 11:33:27.837999,107296647.84,-76.5940704346
2024-08-22 11:33:28.842008,107296647.84,-81.9756011963
2024-08-22 11:33:29.846011,107296647.84,-93.233833313
2024-08-22 11:33:30.850061,107296647.11,-90.1738128662
2024-08-22 11:33:31.854073,107296647.84,-79.3974456787
2024-08-22 11:33:32.858133,107296647.84,-78.8341903687
2024-08-22 11:33:33.862102,107296647.84,-80.0348358154
2024-08-22 11:33:34.866049,107296647.84,-85.510848999
2024-08-22 11:33:35.870044,107296647.84,-78.7585144043
2024-08-22 11:33:36.874046,107296647.84,-77.9774093628
2024-08-22 11:33:37.878116,107296647.84,-74.7630081177
2024-08-22 11:33:38.882096,107296647.84,-76.7440948486
2024-08-22 11:33:39.886088,107296647.84,-79.2032012939
2024-08-22 11:33:40.890122,107296647.84,-77.2214660645
2024-08-22 11:33:41.894086,107296647.84,-75.4077377319
2024-08-22 11:33:42.898120,107296647.84,-72.7959136963
2024-08-22 11:33:43.902106,107296647.84,-73.6551971436
2024-08-22 11:33:44.906092,107296647.84,-77.2567214966
2024-08-22 11:33:45.910074,107296647.84,-79.1505508423
2024-08-22 11:33:46.914039,107296647.84,-83.1717605591
2024-08-22 11:33:47.918096,107296647.84,-76.808883667
2024-08-22 11:33:48.922114,107296647.84,-77.0635299683
2024-08-22 11:33:49.926110,107296647.84,-78.7245025635
2024-08-22 11:33:50.930112,107296647.84,-80.6175994873
2024-08-22 11:33:51.934061,107296647.11,-82.8195571899
2024-08-22 11:33:52.938099,107296647.84,-75.6156463623
2024-08-22 11:33:53.942073,107296647.84,-75.6481399536
2024-08-22 11:33:54.946092,107296647.84,-77.637008667
2024-08-22 11:33:55.950099,107296647.84,-87.4420318604
2024-08-22 11:33:56.954127,107296647.84,-81.6286773682
2024-08-22 11:33:57.958175,107296647.84,-74.4684295654
2024-08-22 11:33:58.962162,107296647.84,-72.0648117065
2024-08-22 11:33:59.966197,107296647.84,-72.2023620605
2024-08-22 11:34:00.970252,107296647.84,-73.6005096436
2024-08-22 11:34:01.974176,107296647.84,-76.8527755737
2024-08-22 11:34:02.980043,107296647.84,-78.5356826782
2024-08-22 11:34:03.982893,107296647.84,-75.4429092407
2024-08-22 11:34:04.986726,107296647.84,-76.3290176392
2024-08-22 11:34:05.990465,107296647.84,-77.9726333618
